,group,names,scores,logfoldchanges,pvals,pvals_adj
0,B,pT09 (Elongationfactors),230.0812,25.581394,0.0,0.0
1,B,pEpi19,228.42645,14.662829,0.0,0.0
2,B,CD74,223.80571,6.0159144,0.0,0.0
3,B,pB10,223.46167,14.548692,0.0,0.0
4,B,"pM22 (DC, MHCII)",219.46623,7.689276,0.0,0.0
5,B,pEpid23,216.57483,19.79777,0.0,0.0
6,B,pEpip12,215.86871,16.481567,0.0,0.0
7,B,pS24 (Endo ven),215.6349,8.762586,0.0,0.0
8,B,HLA-DRA,215.32172,6.303003,0.0,0.0
9,B,CD37,206.21114,5.069954,0.0,0.0
10,B,CD79A,205.53653,6.0474806,0.0,0.0
11,B,RPS27,203.24101,2.4875915,0.0,0.0
12,B,RPS23,202.7503,2.3460326,0.0,0.0
13,B,"pT06 (MHCII, IFNg)",202.59872,8.194427,0.0,0.0
14,B,pEpi42 (elongation factors),201.9301,7.4684033,0.0,0.0
15,B,pEpip16 (Elongation factors),199.44296,7.7522535,0.0,0.0
16,B,pEpi25 (ribosomal genes),196.36775,7.9550724,0.0,0.0
17,B,RPS8,196.05186,2.268699,0.0,0.0
18,B,MS4A1,195.69789,9.159516,0.0,0.0
19,B,HLA-DPB1,193.21315,4.85108,0.0,0.0
20,B,RPL23A,189.06906,2.1999438,0.0,0.0
21,B,RPL21,188.49811,2.2482858,0.0,0.0
22,B,RPL19,186.23624,2.00377,0.0,0.0
23,B,FAU,186.0364,1.820301,0.0,0.0
24,B,RPS3A,185.75899,2.1869652,0.0,0.0
25,B,CD52,185.35832,4.5675464,0.0,0.0
26,B,pEpid28 (Elongation factors),185.27913,7.7222176,0.0,0.0
27,B,RPS27A,184.84474,2.044364,0.0,0.0
28,B,pB04,182.87646,6.8886776,0.0,0.0
29,B,RPL11,182.01962,1.9301515,0.0,0.0
30,B,RPL32,180.01389,2.051917,0.0,0.0
31,B,"pEpi34 (MHCII, ISGs)",179.47781,5.7588277,0.0,0.0
32,B,CXCR4,179.44727,4.4938045,0.0,0.0
33,B,RPS25,178.95381,2.0668092,0.0,0.0
34,B,RPL18A,178.50241,1.9839278,0.0,0.0
35,B,pMA07,178.05402,17.462729,0.0,0.0
36,B,VPREB3,174.98682,8.681566,0.0,0.0
37,B,HLA-DPA1,173.49269,4.2268176,0.0,0.0
38,B,pM09,173.44408,8.462056,0.0,0.0
39,B,RPL28,173.15134,1.6917694,0.0,0.0
40,B,RPL34,173.08057,1.9896694,0.0,0.0
41,B,"pEpid19 (MHCII, ISGs)",172.8803,7.605518,0.0,0.0
42,B,RPS15A,171.81323,1.9955317,0.0,0.0
43,B,EEF1A1,171.26169,1.862507,0.0,0.0
44,B,RPL15,169.92517,1.8785479,0.0,0.0
45,B,pB05,169.7875,5.24331,0.0,0.0
46,B,RPS13,168.43646,1.8908318,0.0,0.0
47,B,RPLP2,167.9952,1.980953,0.0,0.0
48,B,RPL30,164.73204,1.9268485,0.0,0.0
49,B,BTG1,164.44748,3.2121584,0.0,0.0
50,B,CD79B,164.00792,6.0930343,0.0,0.0
51,B,pM07 (pDC),163.45558,7.0396595,0.0,0.0
52,B,RPL10,162.86823,1.7608244,0.0,0.0
53,B,RPS6,162.7535,1.9920123,0.0,0.0
54,B,LTB,162.3258,4.573909,0.0,0.0
55,B,RPL10A,162.27063,1.9967577,0.0,0.0
