,group,names,scores,logfoldchanges,pvals,pvals_adj
0,DC,pEpip16 (Elongation factors),94.95937,7.946997,0.0,0.0
1,DC,pEpi42 (elongation factors),92.74293,7.336292,0.0,0.0
2,DC,pMA07,88.43232,18.864315,0.0,0.0
3,DC,pEpid28 (Elongation factors),88.00924,7.6194983,0.0,0.0
4,DC,pT09 (Elongationfactors),87.59958,16.183231,0.0,0.0
5,DC,EEF1A1,83.478874,2.0471826,0.0,0.0
6,DC,pEpi19,83.47709,8.549567,0.0,0.0
7,DC,RPS23,82.96306,2.1805167,0.0,0.0
8,DC,pM11 (mregDC),81.57791,18.788744,0.0,0.0
9,DC,RPL3,80.2159,2.1625972,0.0,0.0
10,DC,RPL15,78.43712,1.9512838,0.0,0.0
11,DC,RPL5,77.15099,2.2917724,0.0,0.0
12,DC,RPL10,76.424286,1.9247069,0.0,0.0
13,DC,RPL11,76.297005,1.8887872,0.0,0.0
14,DC,RPS4X,76.253555,2.0998948,0.0,0.0
15,DC,RPS7,76.170044,1.9909943,0.0,0.0
16,DC,RPL7A,76.0464,2.0686526,0.0,0.0
17,DC,RPS18,75.2852,1.9993266,0.0,0.0
18,DC,RPS2,74.76453,1.9704523,0.0,0.0
19,DC,RPS19,74.51895,1.9109442,0.0,0.0
20,DC,RPS14,74.27227,1.861694,0.0,0.0
21,DC,RPL10A,74.1903,2.1132455,0.0,0.0
22,DC,RPL4,74.17125,2.2965064,0.0,0.0
23,DC,RPL14,73.45578,1.9738173,0.0,0.0
24,DC,RPL35A,73.26449,1.9464546,0.0,0.0
25,DC,RPL6,73.014565,2.0085866,0.0,0.0
26,DC,RPL23A,72.39052,1.9488045,0.0,0.0
27,DC,RPS3,72.30209,1.8840327,0.0,0.0
28,DC,RPS6,72.1632,1.9369571,0.0,0.0
29,DC,RPS27A,71.69572,1.7188553,0.0,0.0
30,DC,pM07 (pDC),71.625946,15.402657,0.0,0.0
31,DC,RPS3A,71.38355,1.8826853,0.0,0.0
32,DC,pEpid23,71.20299,10.75641,0.0,0.0
33,DC,RPS5,71.02239,1.9868841,0.0,0.0
34,DC,RPS8,70.221,1.8967923,0.0,0.0
35,DC,RPSA,69.71409,2.120415,0.0,0.0
36,DC,RPL18,69.20523,1.7229061,0.0,0.0
