group,names,scores,logfoldchanges,pvals,pvals_adj
Cluster 1,CEACAM6,351.45618,4.306897,0.0,0.0
Cluster 1,CEACAM5,337.75644,4.0918465,0.0,0.0
Cluster 1,PYGB,285.5785,3.4609902,0.0,0.0
Cluster 1,EPCAM,284.7699,3.372243,0.0,0.0
Cluster 1,MUC12,281.92682,3.4436216,0.0,0.0
Cluster 1,ST14,274.54013,3.3924446,0.0,0.0
Cluster 1,SYNGR2,260.30048,3.1422071,0.0,0.0
Cluster 1,CD24,240.13777,3.020157,0.0,0.0
Cluster 1,GPRC5A,233.69499,3.4459262,0.0,0.0
Cluster 1,ELF3,233.46478,3.2387328,0.0,0.0
Cluster 1,KRT8,229.5731,2.830769,0.0,0.0
Cluster 1,MYC,225.92165,3.1512954,0.0,0.0
Cluster 1,CLDN4,222.95537,3.4895892,0.0,0.0
Cluster 1,PRSS23,220.64758,2.8230317,0.0,0.0
Cluster 1,JUN,211.73885,2.8605359,0.0,0.0
Cluster 1,S100A10,199.94489,2.448027,0.0,0.0
Cluster 1,EREG,197.1972,3.5729258,0.0,0.0
Cluster 1,EEF1G,192.23778,2.3448281,0.0,0.0
Cluster 1,LAPTM4B,189.00557,2.9571257,0.0,0.0
Cluster 1,TFRC,187.3413,2.8341823,0.0,0.0
Cluster 1,DAB2,186.56999,2.435863,0.0,0.0
Cluster 1,FTH1,184.68303,2.4625785,0.0,0.0
Cluster 1,KLF5,182.18471,2.538479,0.0,0.0
Cluster 1,GPCPD1,182.04376,2.990799,0.0,0.0
Cluster 1,LCN2,179.98349,2.8254354,0.0,0.0
Cluster 1,HSPA8,177.00116,2.1793807,0.0,0.0
Cluster 1,LGALS3,174.83609,2.2115753,0.0,0.0
Cluster 1,PTP4A3,174.58504,2.756773,0.0,0.0
Cluster 1,NCOA7,173.39949,3.034695,0.0,0.0
Cluster 1,STT3B,169.99318,2.3634512,0.0,0.0
Cluster 1,CTNND1,168.78258,2.209694,0.0,0.0
Cluster 1,SPINT2,167.8018,2.4294956,0.0,0.0
Cluster 1,ITGA6,166.21136,2.5426347,0.0,0.0
Cluster 1,YWHAZ,165.60062,2.1201181,0.0,0.0
Cluster 1,GLCE,165.58412,2.6242719,0.0,0.0
Cluster 1,TMEM45B,165.06566,2.9512658,0.0,0.0
Cluster 1,EEF1B2,161.57758,2.0903327,0.0,0.0
Cluster 1,ID1,160.27495,3.0508149,0.0,0.0
Cluster 1,TRIM31,157.95828,3.6252446,0.0,0.0
Cluster 1,GSTP1,157.40604,2.3165805,0.0,0.0
Cluster 1,NME2,155.8555,2.00179,0.0,0.0
Cluster 1,VEGFA,155.69633,2.8210716,0.0,0.0
Cluster 1,HSP90AA1,154.84705,2.0561855,0.0,0.0
Cluster 1,AREG,152.87181,3.2963338,0.0,0.0
Cluster 1,CXCL2,151.7106,3.5280244,0.0,0.0
Cluster 1,PLBD1,150.99205,2.635257,0.0,0.0
Cluster 1,HSP90AB1,150.72404,2.0998726,0.0,0.0
Cluster 1,CD9,150.61934,2.0763388,0.0,0.0
Cluster 1,SLC3A2,148.30724,2.6814835,0.0,0.0
Cluster 1,ACTG1,148.26851,1.8894572,0.0,0.0
Cluster 1,MYH14,148.0111,2.4730318,0.0,0.0
Cluster 1,TM9SF2,147.30273,2.074255,0.0,0.0
Cluster 1,KIF5B,147.28268,2.1457725,0.0,0.0
Cluster 1,CD47,146.89233,2.4822707,0.0,0.0
Cluster 1,FAT1,144.83084,2.5294096,0.0,0.0
Cluster 1,NQO1,144.5873,2.2638423,0.0,0.0
Cluster 1,HIST1H1B,143.23375,2.3188505,0.0,0.0
Cluster 1,CHCHD2,143.22867,1.9366558,0.0,0.0
Cluster 1,EIF6,143.1802,2.3075442,0.0,0.0
Cluster 1,PHGR1,143.17542,1.7696595,0.0,0.0
Cluster 1,SELENBP1,142.98555,2.678594,0.0,0.0
Cluster 1,GPX2,142.12114,2.5099738,0.0,0.0
Cluster 1,PPDPF,141.76411,1.9579388,0.0,0.0
Cluster 1,MIF,141.33775,2.0827892,0.0,0.0
Cluster 1,ACSL5,140.46857,2.3642905,0.0,0.0
Cluster 1,MUC13,140.14607,2.7860878,0.0,0.0
Cluster 1,TMEM123,139.76787,2.2648587,0.0,0.0
Cluster 1,EPPK1,139.3253,2.698473,0.0,0.0
Cluster 1,HNRNPA2B1,139.1221,1.8258129,0.0,0.0
Cluster 1,FABP1,139.06511,2.2218041,0.0,0.0
Cluster 1,CXCL3,138.70023,3.3896222,0.0,0.0
Cluster 1,AKAP1,137.7909,2.4543805,0.0,0.0
Cluster 1,APLP2,136.29419,2.0475616,0.0,0.0
Cluster 1,ERGIC3,136.01013,1.9274789,0.0,0.0
Cluster 1,PRKDC,135.96133,2.3984196,0.0,0.0
Cluster 1,CFL1,134.37451,1.6776266,0.0,0.0
Cluster 1,HIST1H1C,133.29787,1.9085006,0.0,0.0
Cluster 1,LBR,132.89276,2.2263632,0.0,0.0
Cluster 1,PSMA7,132.63597,2.0175388,0.0,0.0
Cluster 1,LRATD1,131.05115,2.7792783,0.0,0.0
Cluster 1,ENC1,131.01534,2.3461556,0.0,0.0
Cluster 1,LSR,130.67606,2.5204477,0.0,0.0
Cluster 1,SOX4,130.59978,2.207642,0.0,0.0
Cluster 1,SMARCC1,129.84077,2.1890945,0.0,0.0
Cluster 1,VAV3,129.6114,2.133336,0.0,0.0
Cluster 1,ATP9A,129.53748,2.3885736,0.0,0.0
Cluster 1,MCM4,128.85533,2.449288,0.0,0.0
Cluster 1,CTTN,127.74848,1.8956552,0.0,0.0
Cluster 1,HSPE1,127.13799,2.1121912,0.0,0.0
Cluster 1,EIF3B,127.114204,2.0897803,0.0,0.0
Cluster 1,ZFP36L2,127.08588,1.8341255,0.0,0.0
Cluster 1,MCL1,127.008255,1.6571072,0.0,0.0
Cluster 1,CST3,126.829124,1.5871258,0.0,0.0
Cluster 1,MAL2,126.46841,2.1987042,0.0,0.0
Cluster 1,RRBP1,126.245026,2.1385264,0.0,0.0
Cluster 1,SRPK1,125.23813,2.087069,0.0,0.0
Cluster 1,FASN,124.43459,2.404678,0.0,0.0
Cluster 1,TBL1XR1,123.97122,2.1086557,0.0,0.0
Cluster 1,TOB1,123.78644,2.3876262,0.0,0.0
Cluster 1,ALPK3,123.54047,2.7182744,0.0,0.0
Cluster 1,TMPRSS4,122.764656,2.408687,0.0,0.0
Cluster 1,YBX1,122.71395,1.6327019,0.0,0.0
Cluster 1,H3F3A,122.58545,1.5797536,0.0,0.0
Cluster 1,HSPD1,122.49588,2.1385086,0.0,0.0
Cluster 1,STT3A,122.46077,2.119539,0.0,0.0
Cluster 1,TM4SF1,122.285324,2.6296496,0.0,0.0
Cluster 1,PATJ,122.084885,2.3020763,0.0,0.0
Cluster 1,SERINC3,122.00767,2.05692,0.0,0.0
Cluster 1,SELENOH,121.964165,1.7913085,0.0,0.0
Cluster 1,ENTPD6,121.514755,2.5209236,0.0,0.0
Cluster 1,OAZ1,121.13682,1.5672276,0.0,0.0
Cluster 1,NDUFB9,120.88092,2.0675814,0.0,0.0
Cluster 1,IL32,120.78075,1.9838797,0.0,0.0
Cluster 1,ETS2,120.740524,1.9286078,0.0,0.0
Cluster 1,TSPAN8,120.14587,1.6806453,0.0,0.0
